Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:SFC,"Schaffer Corporation Limited (ASX:SFC)",https://www.listcorp.com/asx/sfc/schaffer-corporation-limited,"	296238000",21.94,0.25,1.15,"Consumer Discretionary"
ASX:HAS,"Hastings Technology Metals (ASX:HAS)",https://www.listcorp.com/asx/has/hastings-technology-metals,"	295537000",0.175,0.00,2.94,Materials
ASX:APD,"APN Property Group (ASX:APD)",https://www.listcorp.com/asx/apd/apn-property,"	294946000",0.9,0.01,0.56,"Real Estate"
ASX:PE1,"Pengana Private Equity Trust (ASX:PE1)",https://www.listcorp.com/asx/pe1/pengana-private-equity-trust,"	293656000",1.23,0.01,0.41,Unclassified
ASX:VHT,"Volpara Health Technologies (ASX:VHT)",https://www.listcorp.com/asx/vht/volpara-health-technologies,"	291526000",1.14,-0.02,-1.72,"Health Care"
ASX:GDF,"Garda Diversified Property Fund (ASX:GDF)",https://www.listcorp.com/asx/gdf/garda-diversified-property-fund,"	291385000",1.265,-0.01,-1.17,"Real Estate"
ASX:PAC,"Pacific Current Group (ASX:PAC)",https://www.listcorp.com/asx/pac/pacific-current-group,"	291249000",5.68,-0.05,-0.87,Financials
ASX:TRJ,"Trajan Group Holdings Limited (ASX:TRJ)",https://www.listcorp.com/asx/trj/trajan-group-holdings-limited,"	286312000",2.3,0.09,4.07,"Health Care"
ASX:NMT,"Neometals Limited (ASX:NMT)",https://www.listcorp.com/asx/nmt/neometals-limited,"	286309000",0.525,0.00,0,Materials
ASX:TWR,"Tower Limited (ASX:TWR)",https://www.listcorp.com/asx/twr/tower-limited,"	284612000",0.66,-0.01,-2.22,Financials
ASX:CTM,"Centaurus Metals (ASX:CTM)",https://www.listcorp.com/asx/ctm/centaurus-metals,"	281858000",0.82,0.00,0,Materials
ASX:WQG,"WCM Global Growth (ASX:WQG)",https://www.listcorp.com/asx/wqg/wcm-global-growth,"	280279000",1.595,0.00,0.31,Financials
ASX:MLD,"MACA Limited (ASX:MLD)",https://www.listcorp.com/asx/mld/maca,"	280203000",0.85,0.03,3.66,Materials
ASX:SKT,"Sky Network Television (ASX:SKT)",https://www.listcorp.com/asx/skt/sky-network,"	279501000",0.16,0.00,0,"Communication Services"
ASX:AMS,"Atomos Limited (ASX:AMS)",https://www.listcorp.com/asx/ams/atomos-limited,"	275288000",1.235,-0.02,-1.98,"Consumer Discretionary"
ASX:EGR,"EcoGraf Limited (ASX:EGR)",https://www.listcorp.com/asx/egr/ecograf-limited,"	274398000",0.6,-0.01,-1.64,Materials
ASX:LEG,"Legend Mining (ASX:LEG)",https://www.listcorp.com/asx/leg/legend-mining,"	272758000",0.095,-0.00,-4.04,Materials
ASX:ABA,"Auswide Bank Ltd (ASX:ABA)",https://www.listcorp.com/asx/aba/auswide-bank,"	272627000",6.375,0.02,0.39,Financials
ASX:HE8,"Helios Energy Limited (ASX:HE8)",https://www.listcorp.com/asx/he8/helios-energy-limited,"	272432000",0.15,-0.01,-9.09,Energy
ASX:NCZ,"New Century Resources Limited (ASX:NCZ)",https://www.listcorp.com/asx/ncz/new-century-resources-limited,"	272234000",0.215,-0.01,-4.44,Materials
ASX:4DX,"4DMedical Limited (ASX:4DX)",https://www.listcorp.com/asx/4dx/4dmedical-limited,"	271458000",1.385,0.08,5.73,"Health Care"
ASX:IHL,"Incannex Healthcare Limited (ASX:IHL)",https://www.listcorp.com/asx/ihl/incannex-healthcare-limited,"	270385000",0.26,0.00,1.96,"Health Care"
ASX:WGO,"Warrego Energy Limited (ASX:WGO)",https://www.listcorp.com/asx/wgo/warrego-energy-limited,"	268588000",0.22,-0.01,-6.38,Energy
ASX:SO4,"Salt Lake Potash Limited (ASX:SO4)",https://www.listcorp.com/asx/so4/salt-lake-potash-limited,"	268511000",0.325,-0.01,-1.52,Materials
ASX:FEMX,"Fidelity Global Emerging Markets Fund (ASX:FEMX)",https://www.listcorp.com/asx/femx/fidelity-global-emerging-markets-fund,"	268505000",6.9,0.00,0,Financials
ASX:DCN,"Dacian Gold (ASX:DCN)",https://www.listcorp.com/asx/dcn/dacian-gold,"	267912000",0.29,0.00,0,Materials
ASX:EOF,"Ecofibre Limited (ASX:EOF)",https://www.listcorp.com/asx/eof/ecofibre-limited,"	267698000",0.785,0.00,0,"Health Care"
ASX:LRK,"Lark Distilling Co. Ltd (ASX:LRK)",https://www.listcorp.com/asx/lrk/lark-distilling-co.-ltd,"	267414000",4.4,0.16,3.77,"Consumer Staples"
ASX:HLO,"Helloworld (ASX:HLO)",https://www.listcorp.com/asx/hlo/helloworld,"	266648000",1.73,0.01,0.58,"Consumer Discretionary"
ASX:DGO,"DGO Gold Limited (ASX:DGO)",https://www.listcorp.com/asx/dgo/dgo-gold-limited,"	264786000",3.7,0.10,2.78,Materials
ASX:CXO,"Core Lithium Ltd (ASX:CXO)",https://www.listcorp.com/asx/cxo/core-lithium-ltd,"	264176000",0.225,0.00,0,Materials
ASX:FZO,"Family Zone Cyber Safety (ASX:FZO)",https://www.listcorp.com/asx/fzo/family-zone-cyber-safety,"	264030000",0.6,-0.01,-0.83,"Information Technology"
ASX:SPT,"Splitit Payments Ltd (ASX:SPT)",https://www.listcorp.com/asx/spt/splitit-payments-ltd,"	263346000",0.57,-0.01,-0.87,"Information Technology"
ASX:SVM,"Sovereign Metals (ASX:SVM)",https://www.listcorp.com/asx/svm/sovereign-metals,"	261142000",0.615,-0.01,-0.81,Materials
ASX:OTW,"Over the Wire Holdings Limited (ASX:OTW)",https://www.listcorp.com/asx/otw/over-the-wire-holdings,"	256711000",4.25,-0.06,-1.39,"Information Technology"
ASX:TBR,"Tribune Resources Ltd (ASX:TBR)",https://www.listcorp.com/asx/tbr/tribune-resources,"	256044000",5.08,0.20,4.1,Materials
ASX:BBOZ,"BetaShares Australian Equities Strong Bear Hedge Fund (ASX:BBOZ)",https://www.listcorp.com/asx/bboz/betashares-australian-equities-strong-bear-hedge-fund,"	255285000",4.56,-0.09,-1.94,Financials
ASX:SVH,"Silver Heritage Group Limited (ASX:SVH)",https://www.listcorp.com/asx/svh/silver-heritage-group-limited,"	252175000",4.52,0.00,0,"Consumer Discretionary"
ASX:POS,"Poseidon Nickel (ASX:POS)",https://www.listcorp.com/asx/pos/poseidon-nickel,"	247229000",0.09,0.00,2.27,Materials
ASX:GNX,"Genex Power Limited (ASX:GNX)",https://www.listcorp.com/asx/gnx/genex-power-limited,"	246077000",0.24,0.01,4.35,Utilities
ASX:SRG,"SRG Global Limited (ASX:SRG)",https://www.listcorp.com/asx/srg/srg-global-limited,"	245188000",0.54,-0.01,-1.82,Industrials
ASX:TRA,"Turners Automotive Group (ASX:TRA)",https://www.listcorp.com/asx/tra/turners-automotive-group,"	243801000",2.85,0.00,0,"Consumer Discretionary"
ASX:AVJ,"AVJennings (ASX:AVJ)",https://www.listcorp.com/asx/avj/avjennings,"	243738000",0.6,0.00,0,"Real Estate"
ASX:M7T,"Mach7 Technologies Limited (ASX:M7T)",https://www.listcorp.com/asx/m7t/mach7-technologies-limited,"	242250000",1.03,0.01,0.49,"Health Care"
ASX:VTH,"Vitalharvest Freehold Trust (ASX:VTH)",https://www.listcorp.com/asx/vth/vitalharvest-freehold-trust,"	241425000",1.305,0.00,0,"Real Estate"
ASX:RDY,"ReadyTech Holdings Limited (ASX:RDY)",https://www.listcorp.com/asx/rdy/readytech-holdings-limited,"	241073000",2.38,0.02,0.85,"Information Technology"
ASX:GNG,"GR Engineering Services (ASX:GNG)",https://www.listcorp.com/asx/gng/gr-engineering,"	240521000",1.5,0.00,0.33,Materials
ASX:WAR,"WAM Strategic Value Limited (ASX:WAR)",https://www.listcorp.com/asx/war/wam-strategic-value-limited,"	240300000",1.325,-0.01,-0.75,Financials
ASX:CGS,"CogState Limited (ASX:CGS)",https://www.listcorp.com/asx/cgs/cogstate,"	239384000",1.43,0.03,2.14,"Health Care"
ASX:QVE,"QV Equities Limited (ASX:QVE)",https://www.listcorp.com/asx/qve/qv-equities-limited,"	238869000",0.99,0.01,0.51,Financials
ASX:CEL,"Challenger Exploration (ASX:CEL)",https://www.listcorp.com/asx/cel/challenger-exploration,"	238561000",0.295,0.00,0,Materials
ASX:ITG,"Intega Group Limited (ASX:ITG)",https://www.listcorp.com/asx/itg/intega-group-limited,"	238441000",0.55,-0.02,-3.51,Industrials
ASX:FRI,"Finbar Group (ASX:FRI)",https://www.listcorp.com/asx/fri/finbar-group,"	238108000",0.875,0.00,0,"Real Estate"
ASX:GLN,"Galan Lithium Limited (ASX:GLN)",https://www.listcorp.com/asx/gln/galan-lithium-limited,"	237310000",1.04,0.07,7.22,Materials
ASX:GLB,"Globe International (ASX:GLB)",https://www.listcorp.com/asx/glb/globe-international,"	235514000",5.65,-0.03,-0.53,"Consumer Discretionary"
ASX:ECF,"Elanor Commercial Property Fund (ASX:ECF)",https://www.listcorp.com/asx/ecf/elanor-commercial-property-fund,"	235060000",1.15,0.00,0,"Real Estate"
ASX:8VI,"8VI Holdings Limited (ASX:8VI)",https://www.listcorp.com/asx/8vi/8vi-holdings-limited,"	234754000",5.3,-0.24,-4.33,"Consumer Discretionary"
ASX:OOO,"BetaShares Crude Oil Index ETF-Currency Hedged Synthetic (ASX:OOO)",https://www.listcorp.com/asx/ooo/betashares-crude-oil-index-etf-currency-hedged-synthetic,"	232781000",5.91,0.09,1.55,Financials
ASX:DYL,"Deep Yellow Limited (ASX:DYL)",https://www.listcorp.com/asx/dyl/deep-yellow-limited,"	232223000",0.685,-0.01,-2.14,Energy
ASX:IGL,"IVE Group Limited (ASX:IGL)",https://www.listcorp.com/asx/igl/ive-group-limited,"	230865000",1.58,-0.03,-1.86,"Communication Services"
ASX:MNS,"Magnis Energy Technologies (ASX:MNS)",https://www.listcorp.com/asx/mns/magnis-energy-technologies,"	229887000",0.27,0.00,0,Materials
ASX:ENN,"Elanor Investors Group (ASX:ENN)",https://www.listcorp.com/asx/enn/elanor-investors,"	228642000",1.895,0.00,0.26,"Consumer Discretionary"
ASX:WOT,"WOTSO Property (ASX:WOT)",https://www.listcorp.com/asx/wot/wotso-property,"	228090000",1.41,0.01,0.71,"Real Estate"
ASX:CVC,"CVC Limited (ASX:CVC)",https://www.listcorp.com/asx/cvc/cvc-limited,"	227807000",1.99,0.04,2.05,Financials
ASX:EGG,"Enero Group (ASX:EGG)",https://www.listcorp.com/asx/egg/enero-group,"	227037000",2.65,0.03,1.15,"Communication Services"
ASX:PLT,"Plenti Group Limited (ASX:PLT)",https://www.listcorp.com/asx/plt/plenti-group-limited,"	226358000",1.35,0.01,0.75,Financials
ASX:ANO,"Advance NanoTek Limited (ASX:ANO)",https://www.listcorp.com/asx/ano/advance-nanotek-limited,"	225785000",3.71,0.02,0.54,Materials
ASX:CBR,"Carbon Revolution Limited (ASX:CBR)",https://www.listcorp.com/asx/cbr/carbon-revolution-limited,"	224957000",1.16,0.01,0.87,"Consumer Discretionary"
ASX:DSK,"Dusk Group Limited (ASX:DSK)",https://www.listcorp.com/asx/dsk/dusk-group-limited,"	224164000",3.5,-0.10,-2.78,"Consumer Discretionary"
ASX:COG,"Consolidated Operations Group (ASX:COG)",https://www.listcorp.com/asx/cog/consolidated-operations-group,"	223933000",0.135,0.00,0,Financials
ASX:AXE,"Archer Materials Limited (ASX:AXE)",https://www.listcorp.com/asx/axe/archer-materials-limited,"	221819000",1.11,0.14,13.85,Materials
ASX:VEQ,"Vanguard FTSE Europe Shares ETF (ASX:VEQ)",https://www.listcorp.com/asx/veq/vanguard-ftse-europe-shares-etf,"	220062000",64.67,0.14,0.22,Financials
ASX:EWC,"Energy World Corp (ASX:EWC)",https://www.listcorp.com/asx/ewc/energy-world-corp,"	219083000",0.084,0.00,0,Utilities
ASX:FWD,"Fleetwood Limited (ASX:FWD)",https://www.listcorp.com/asx/fwd/fleetwood-limited,"	218541000",2.28,-0.04,-1.72,"Consumer Discretionary"
ASX:SLA,"SILK Laser Australia Limited (ASX:SLA)",https://www.listcorp.com/asx/sla/silk-laser-australia-limited,"	218455000",4.22,0.00,0,"Consumer Discretionary"
ASX:EXR,"Elixir Energy Limited (ASX:EXR)",https://www.listcorp.com/asx/exr/elixir-energy-limited,"	218298000",0.245,0.00,0,Energy
ASX:KLL,"Kalium Lakes Limited (ASX:KLL)",https://www.listcorp.com/asx/kll/kalium-lakes-limited,"	218182000",0.255,-0.00,-1.92,Materials
ASX:STA,"Strandline Resources Limited (ASX:STA)",https://www.listcorp.com/asx/sta/strandline-resources-limited,"	217656000",0.205,0.01,5.13,Materials
ASX:HFR,"Highfield Resources Limited (ASX:HFR)",https://www.listcorp.com/asx/hfr/highfield-resources,"	217536000",0.655,-0.01,-0.76,Materials
ASX:IMR,"Imricor Medical Systems, Inc. (ASX:IMR)",https://www.listcorp.com/asx/imr/imricor-medical-systems-inc,"	217169000",1.95,0.07,3.72,"Health Care"
ASX:DRA,"DRA Global Limited (ASX:DRA)",https://www.listcorp.com/asx/dra/dra-global-limited,"	216911000",4.11,0.11,2.75,Industrials
ASX:MCA,"Murray Cod Australia Limited (ASX:MCA)",https://www.listcorp.com/asx/mca/murray-cod-australia-limited,"	216017000",0.38,0.00,0,"Consumer Staples"
ASX:KGL,"KGL Resources (ASX:KGL)",https://www.listcorp.com/asx/kgl/kgl-resources,"	215773000",0.49,-0.06,-10.91,Materials
ASX:WBT,"Weebit Nano Limited (ASX:WBT)",https://www.listcorp.com/asx/wbt/weebit-nano-limited,"	214740000",1.78,0.03,1.71,"Information Technology"
ASX:FID,"Fiducian Group Limited (ASX:FID)",https://www.listcorp.com/asx/fid/fiducian-group-limited,"	213181000",6.83,0.05,0.74,Financials
ASX:ZER,"Zeta Resources Ltd (ASX:ZER)",https://www.listcorp.com/asx/zer/zeta-resources,"	212377000",0.375,0.00,0,Materials
ASX:VML,"Vital Metals Limited (ASX:VML)",https://www.listcorp.com/asx/vml/vital-metals-limited,"	211866000",0.052,0.00,1.96,Materials
ASX:TGP,"360 Capital Group (ASX:TGP)",https://www.listcorp.com/asx/tgp/360-capital-group,"	211644000",0.9,-0.02,-2.17,"Real Estate"
ASX:4DS,"4DS Memory Limited (ASX:4DS)",https://www.listcorp.com/asx/4ds/4ds-memory-limited,"	211352000",0.16,0.00,0,"Information Technology"
ASX:NVA,"Nova Minerals Limited (ASX:NVA)",https://www.listcorp.com/asx/nva/nova-minerals-limited,"	210118000",0.12,-0.01,-4,Materials
ASX:NWF,"Newfield Resources (ASX:NWF)",https://www.listcorp.com/asx/nwf/newfield-resources,"	209268000",0.36,0.00,0,Materials
ASX:AJM,"Altura Mining Limited (ASX:AJM)",https://www.listcorp.com/asx/ajm/altura-mining,"	209037000",0.07,0.00,0,Materials
ASX:EMV,"Emvision Medical Devices Limited (ASX:EMV)",https://www.listcorp.com/asx/emv/emvision-medical-devices-limited,"	207526000",2.82,-0.06,-2.08,"Health Care"
ASX:YOJ,"Yojee Limited (ASX:YOJ)",https://www.listcorp.com/asx/yoj/yojee-limited,"	205816000",0.2,0.02,8.11,"Information Technology"
ASX:TRS,"The Reject Shop (ASX:TRS)",https://www.listcorp.com/asx/trs/reject-shop,"	205814000",5.36,-0.01,-0.19,"Consumer Discretionary"
ASX:LYL,"Lycopodium Limited (ASX:LYL)",https://www.listcorp.com/asx/lyl/lycopodium,"	205060000",5.18,0.02,0.39,Industrials
ASX:VCF,"Vanguard International Credit Securities Index (Hedged) ETF (ASX:VCF)",https://www.listcorp.com/asx/vcf/vanguard-international-credit-securities-index-hedged-etf,"	203049000",45.45,0.03,0.07,Financials
ASX:IJH,"iShares S&P Mid-Cap ETF (ASX:IJH)",https://www.listcorp.com/asx/ijh/ishares-s-and-p-mid-cap-etf,"	202678000",360.51,4.56,1.28,Financials
ASX:SOM,"SomnoMed Limited (ASX:SOM)",https://www.listcorp.com/asx/som/somnomed,"	201933000",2.48,0.04,1.64,"Health Care"
ASX:CYL,"Catalyst Metals (ASX:CYL)",https://www.listcorp.com/asx/cyl/catalyst-metals,"	201506000",2.05,0.00,0,Materials
ASX:BOC,"Bougainville Copper Limited (ASX:BOC)",https://www.listcorp.com/asx/boc/bougainville-copper-limited,"	200531000",0.515,0.02,3,Materials
ASX:KSC,"K & S Corp (ASX:KSC)",https://www.listcorp.com/asx/ksc/k-and-s-corp,"	200261000",1.6,0.04,2.89,Industrials
ASX:TNK,"Think Childcare Limited (ASX:TNK)",https://www.listcorp.com/asx/tnk/think-childcare-limited,"	200062000",3.24,-0.01,-0.31,"Consumer Discretionary"
ASX:CAI,"Calidus Resources Limited (ASX:CAI)",https://www.listcorp.com/asx/cai/calidus-resources-limited,"	199964000",0.5,0.00,0,Materials
ASX:MLX,"Metals X Limited (ASX:MLX)",https://www.listcorp.com/asx/mlx/metals-x,"	199599000",0.22,0.00,0,Materials
ASX:AVG,"Australian Vintage Ltd (ASX:AVG)",https://www.listcorp.com/asx/avg/australian-vintage,"	199300000",0.795,0.00,0,"Consumer Staples"
ASX:EMH,"European Metals Holdings (ASX:EMH)",https://www.listcorp.com/asx/emh/european-metals-holdings,"	198677000",1.575,0.04,2.94,Materials
ASX:AHQ,"Allegiance Coal (ASX:AHQ)",https://www.listcorp.com/asx/ahq/allegiance-coal,"	197699000",0.7,0.00,0,Materials
ASX:CL1,"Class Limited (ASX:CL1)",https://www.listcorp.com/asx/cl1/class-limited,"	197395000",1.59,-0.00,-0.31,"Information Technology"
ASX:GVF,"Global Value Fund Limited (ASX:GVF)",https://www.listcorp.com/asx/gvf/global-value-fund-limited,"	197217000",1.13,-0.01,-0.88,Financials
ASX:NZK,"New Zealand King Salmon Investments (ASX:NZK)",https://www.listcorp.com/asx/nzk/new-zealand-king-salmon-investments,"	195275000",1.405,0.00,0,"Consumer Staples"
ASX:MGV,"Musgrave Minerals (ASX:MGV)",https://www.listcorp.com/asx/mgv/musgrave-minerals,"	194626000",0.355,-0.01,-2.74,Materials
ASX:CVV,"Caravel Minerals (ASX:CVV)",https://www.listcorp.com/asx/cvv/caravel-minerals,"	194554000",0.49,-0.02,-4.85,Materials
ASX:LME,"Limeade, Inc. (ASX:LME)",https://www.listcorp.com/asx/lme/limeade-inc.,"	194358000",0.77,-0.01,-1.28,"Information Technology"
ASX:WMA,"WAM Alternative Assets Limited (ASX:WMA)",https://www.listcorp.com/asx/wma/wam-alternative-assets-limited,"	193933000",0.99,-0.01,-1,Financials
ASX:FEX,"Fenix Resources Ltd (ASX:FEX)",https://www.listcorp.com/asx/fex/fenix-resources-ltd,"	192788000",0.425,0.02,3.66,Materials
ASX:MVE,"Vaneck Vectors S&P/ASX Midcap ETF (ASX:MVE)",https://www.listcorp.com/asx/mve/vaneck-vectors-s-and-p-asx-midcap-etf,"	192310000",35.67,0.31,0.88,Financials
ASX:GSS,"Genetic Signatures Limited (ASX:GSS)",https://www.listcorp.com/asx/gss/genetic-signatures-limited,"	191496000",1.34,0.00,0,"Health Care"
ASX:BNO,"Bionomics Limited (ASX:BNO)",https://www.listcorp.com/asx/bno/bionomics-limited,"	191443000",0.185,-0.00,-2.63,"Health Care"
ASX:JAN,"Janison Education Group Limited (ASX:JAN)",https://www.listcorp.com/asx/jan/janison-education-group,"	191172000",0.84,0.01,0.6,"Information Technology"
ASX:ACW,"Actinogen Medical Limited (ASX:ACW)",https://www.listcorp.com/asx/acw/actinogen-medical-limited,"	190964000",0.115,0.00,0,"Health Care"
ASX:BMN,"Bannerman Resources (ASX:BMN)",https://www.listcorp.com/asx/bmn/bannerman-resources,"	190262000",0.16,0.00,0,Energy
ASX:IRD,"Iron Road Limited (ASX:IRD)",https://www.listcorp.com/asx/ird/iron-road,"	190147000",0.245,0.00,2.08,Materials
ASX:IMA,"Image Resources NL (ASX:IMA)",https://www.listcorp.com/asx/ima/image-resources,"	189495000",0.1875,-0.00,-1.32,Materials
ASX:SLH,"Silk Logistics Holdings Limited (ASX:SLH)",https://www.listcorp.com/asx/slh/silk-logistics-holdings-limited,"	189405000",2.45,-0.05,-2,Industrials
ASX:ST1,"Spirit Technology Solutions Ltd (ASX:ST1)",https://www.listcorp.com/asx/st1/spirit-technology-solutions,"	189165000",0.285,-0.00,-1.72,"Communication Services"
ASX:GTK,"Gentrack Group (ASX:GTK)",https://www.listcorp.com/asx/gtk/gentrack,"	188905000",1.855,-0.06,-3.13,"Information Technology"
ASX:SMP,"Smartpay Holdings (ASX:SMP)",https://www.listcorp.com/asx/smp/smartpay,"	186848000",0.79,-0.01,-1.86,"Information Technology"
ASX:KCN,"Kingsgate Consolidated Limited (ASX:KCN)",https://www.listcorp.com/asx/kcn/kingsgate-consolidated,"	186636000",0.82,-0.01,-0.61,Materials
ASX:PVS,"Pivotal Systems Corporation (ASX:PVS)",https://www.listcorp.com/asx/pvs/pivotal-systems-corporation,"	186306000",1.45,-0.09,-5.84,"Information Technology"
ASX:LDX,"Lumos Diagnostics Holdings Limited (ASX:LDX)",https://www.listcorp.com/asx/ldx/lumos-diagnostics-holdings-limited,"	186189000",1.24,0.00,0,Unclassified
ASX:AIM,"Ai-Media Technologies Limited (ASX:AIM)",https://www.listcorp.com/asx/aim/ai-media-technologies-limited,"	185354000",0.895,0.01,1.13,Industrials
ASX:FYI,"FYI Resources Limited (ASX:FYI)",https://www.listcorp.com/asx/fyi/fyi-resources,"	182735000",0.535,-0.02,-2.73,Materials
ASX:SMR,"Stanmore Resources Limited (ASX:SMR)",https://www.listcorp.com/asx/smr/stanmore-resources-limited,"	182524000",0.715,0.04,5.93,Energy
ASX:FOR,"Forager Australian Shares Fund (ASX:FOR)",https://www.listcorp.com/asx/for/forager-australian-shares-fund,"	182432000",1.66,-0.01,-0.6,Financials
ASX:PGL,"Prospa Group Limited (ASX:PGL)",https://www.listcorp.com/asx/pgl/prospa-group-limited,"	181758000",1.065,-0.04,-3.62,Financials
ASX:GPR,"Geopacific Resources (ASX:GPR)",https://www.listcorp.com/asx/gpr/geopacific-resources,"	181386000",0.345,-0.01,-1.43,Materials
ASX:HLA,"Healthia Limited (ASX:HLA)",https://www.listcorp.com/asx/hla/healthia-limited,"	180411000",2.04,0.04,2,"Health Care"
ASX:HMY,"Harmoney Corp Limited (ASX:HMY)",https://www.listcorp.com/asx/hmy/harmoney-corp-limited,"	180129000",1.88,0.09,5.32,Financials
ASX:MAD,"Mader Group Limited (ASX:MAD)",https://www.listcorp.com/asx/mad/mader-group-limited,"	180000000",0.91,0.01,1.11,Industrials
ASX:MYD,"MyDeal.com.au Limited (ASX:MYD)",https://www.listcorp.com/asx/myd/mydeal.com.au-limited,"	179885000",0.695,0.00,0,"Consumer Discretionary"
ASX:NOX,"Noxopharm Limited (ASX:NOX)",https://www.listcorp.com/asx/nox/noxopharm-limited,"	178697000",0.61,-0.01,-1.61,"Health Care"
ASX:NEU,"Neuren Pharmaceuticals (ASX:NEU)",https://www.listcorp.com/asx/neu/neuren,"	177643000",1.58,0.03,1.94,"Health Care"
ASX:EM2,"Eagle Mountain Mining Limited (ASX:EM2)",https://www.listcorp.com/asx/em2/eagle-mountain-mining-limited,"	177336000",0.895,0.02,2.29,Materials
ASX:OGC,"OceanaGold Corporation (ASX:OGC)",https://www.listcorp.com/asx/ogc/oceanagold,"	177181000",2.49,-0.03,-1.19,Materials
ASX:SHJ,"Shine Justice Ltd (ASX:SHJ)",https://www.listcorp.com/asx/shj/shine-justice-ltd,"	176727000",1.025,0.00,0.49,"Consumer Discretionary"
ASX:MML,"Medusa Mining (ASX:MML)",https://www.listcorp.com/asx/mml/medusa-mining,"	176692000",0.89,0.04,4.71,Materials
ASX:KZA,"Kazia Therapeutics Limited (ASX:KZA)",https://www.listcorp.com/asx/kza/kazia-therapeutics-limited,"	176294000",1.29,-0.04,-3.01,"Health Care"
ASX:BTI,"Bailador Technology Investments (ASX:BTI)",https://www.listcorp.com/asx/bti/bailador-technology-investments,"	176218000",1.25,-0.01,-0.4,Financials
ASX:EP1,"E&P Financial Group Limited (ASX:EP1)",https://www.listcorp.com/asx/ep1/e-and-p-financial-group-limited,"	175975000",0.74,-0.01,-1.33,Financials
ASX:AUT,"Auteco Minerals Ltd (ASX:AUT)",https://www.listcorp.com/asx/aut/auteco-minerals-ltd,"	175054000",0.115,0.01,9.52,Materials
ASX:HTG,"Harvest Technology Group Ltd (ASX:HTG)",https://www.listcorp.com/asx/htg/-harvest-technology-group-ltd,"	174887000",0.325,-0.01,-2.99,"Information Technology"
ASX:SLX,"Silex Systems (ASX:SLX)",https://www.listcorp.com/asx/slx/silex-systems,"	174495000",1.01,0.00,0,"Information Technology"
ASX:DNK,"Danakali Limited (ASX:DNK)",https://www.listcorp.com/asx/dnk/danakali-limited,"	174446000",0.47,-0.00,-1.05,Materials
ASX:RHY,"Rhythm Biosciences Limited (ASX:RHY)",https://www.listcorp.com/asx/rhy/rhythm-biosciences-limited,"	173867000",0.86,0.00,0,"Health Care"
ASX:BBUS,"Betashares US EQ Strong Bear Hdge Fnd-Crncy Heged (ASX:BBUS)",https://www.listcorp.com/asx/bbus/betashares-us-eq-strong-bear-hdge-fnd-crncy-heged,"	171655000",1.045,-0.03,-2.34,Financials
ASX:AHI,"Advanced Human Imaging Limited (ASX:AHI)",https://www.listcorp.com/asx/ahi/advanced-human-imaging-limited,"	170453000",1.25,0.00,0,"Information Technology"
ASX:MGT,"Magnetite Mines Limited (ASX:MGT)",https://www.listcorp.com/asx/mgt/magnetite-mines-limited,"	169684000",0.048,-0.01,-11.11,Materials
ASX:EXP,"Experience Co Limited (ASX:EXP)",https://www.listcorp.com/asx/exp/experience-co-limited,"	169523000",0.295,-0.01,-3.28,"Consumer Discretionary"
ASX:NTU,"Northern Minerals (ASX:NTU)",https://www.listcorp.com/asx/ntu/northern-minerals,"	169460000",0.035,0.00,0,Materials
ASX:BRI,"Big River Industries Limited (ASX:BRI)",https://www.listcorp.com/asx/bri/big-river-industries-limited,"	169313000",2.08,-0.02,-0.95,Materials
ASX:ARU,"Arafura Resources (ASX:ARU)",https://www.listcorp.com/asx/aru/arafura-resources,"	168300000",0.125,0.00,0,Materials
ASX:QPM,"Queensland Pacific Metals Limited (ASX:QPM)",https://www.listcorp.com/asx/qpm/queensland-pacific-metals-limited,"	168259000",0.145,0.00,3.57,Materials
ASX:PCG,"Pengana Capital Group (ASX:PCG)",https://www.listcorp.com/asx/pcg/pengana-capital-group,"	168191000",1.55,-0.08,-4.91,Financials
ASX:CRO,"Cirralto Limited (ASX:CRO)",https://www.listcorp.com/asx/cro/cirralto-limited,"	167761000",0.061,0.00,0,"Information Technology"
ASX:MVB,"Vaneck Vectors Australian Banks ETF (ASX:MVB)",https://www.listcorp.com/asx/mvb/vaneck-vectors-australian-banks-etf,"	167579000",29.74,0.27,0.92,Financials
ASX:VTG,"Vita Group Limited (ASX:VTG)",https://www.listcorp.com/asx/vtg/vita-group-limited,"	167260000",1.005,-0.01,-0.5,"Consumer Discretionary"
ASX:D2O,"Duxton Water Limited (ASX:D2O)",https://www.listcorp.com/asx/d2o/duxton-water-limited,"	167177000",1.38,-0.02,-1.08,Utilities
ASX:EOL,"Energy One (ASX:EOL)",https://www.listcorp.com/asx/eol/energy-one,"	167038000",6.77,0.30,4.64,"Information Technology"
ASX:VMS,"Venture Minerals Limited (ASX:VMS)",https://www.listcorp.com/asx/vms/venture-minerals,"	166147000",0.12,-0.01,-4,Materials
ASX:HZN,"Horizon Oil (ASX:HZN)",https://www.listcorp.com/asx/hzn/horizon-oil,"	165789000",0.11,0.00,4.76,Energy
ASX:VEE,"Veem Limited (ASX:VEE)",https://www.listcorp.com/asx/vee/veem-limited,"	165750000",1.25,-0.02,-1.96,Industrials
ASX:MTO,"MotorCycle Holdings Limited (ASX:MTO)",https://www.listcorp.com/asx/mto/motorcycle-holdings-limited,"	165374000",2.69,0.01,0.37,"Consumer Discretionary"
